,id,latitude,longitude,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020,clusters,cluster
11102,2969803,40.76794,-73.98781,68,222,1,156,2.3,131,1,purple
11103,13879965,40.76289,-73.99419,70,230,1,257,6.19,0,2,dark purple
11104,16463655,40.76581,-73.99025,95,230,1,98,3.56,149,2,dark purple
11105,21381272,40.76152,-73.98959,91,232,1,35,1.39,142,2,dark purple
11106,1430650,40.768,-73.98695,99,232,1,139,2.08,155,1,purple
11107,20483744,40.76093,-73.99103,120,251,1,136,5.45,247,2,dark purple
11108,14807332,40.7658,-73.98795,180,273,1,354,8.95,90,2,dark purple
11109,15452258,40.75689,-73.99315,98,276,1,50,1.32,65,2,dark purple
11110,2519112,40.76152,-73.98793,149,288,1,174,3.12,59,1,purple
11111,3802538,40.75882,-73.99168,99,295,1,159,2.8,0,1,purple
11112,29457275,40.76199,-73.99253,62,299,1,109,8.38,240,0,pink
11113,20828460,40.76697,-73.99134,130,361,1,78,2.85,59,2,dark purple
11114,29420903,40.66246,-73.83518,300,280,1,3,0.22,89,0,pink
11115,24210296,40.72741,-74.0088,150,132,1,65,3.28,0,0,pink
11116,8887907,40.87157,-73.91744,50,23,1,54,1.08,337,1,purple
11117,27978240,40.86524,-73.92195,45,292,1,13,0.95,0,0,pink
11118,15811924,40.86845,-73.92091,80,294,1,56,1.49,89,2,dark purple
11119,19736798,40.8662,-73.92646,60,300,1,152,5.79,16,2,dark purple
11120,17665943,40.76245,-73.87938,55,12,1,286,8.7,348,2,dark purple
11121,12294124,40.74838,-73.88767,125,18,1,14,0.32,341,2,dark purple
11122,17796480,40.75125,-73.87644,59,21,1,119,3.65,308,2,dark purple
11123,7276534,40.7582,-73.87656,50,34,1,236,4.43,251,1,purple
11124,7182243,40.75716,-73.88745,45,85,1,20,0.39,328,1,purple
11125,28107104,40.75061,-73.89364,55,100,1,67,4.35,176,0,pink
11126,27795234,40.76019,-73.88405,35,110,1,110,7.14,168,0,pink
